n,J,sum_1_alpha,sum_1_csref,delta
100,2,0.45772059,0.46259976,5.386642
120,2,0.43063063,0.44129912,5.416840
140,3,0.62911025,0.63831322,5.442657
160,3,0.58544750,0.59524878,5.465177
180,3,0.54914530,0.55894533,5.485130
200,3,0.52866852,0.53834307,5.503031
220,3,0.52620968,0.53336667,5.519255
240,3,0.49538765,0.50974677,5.534084
260,4,0.74117647,0.76177286,5.547735
280,3,0.65910494,0.67857889,5.560378
300,3,0.63130406,0.64861723,5.572149
320,3,0.61225436,0.62940034,5.583158
340,3,0.59372785,0.61130586,5.593497
360,3,0.59060482,0.60713872,5.603241
380,3,0.56192257,0.57653575,5.612453
400,3,0.56140509,0.57692296,5.621188
420,3,0.54705687,0.56414767,5.629492
440,3,0.53785170,0.55683300,5.637404
460,3,0.53079278,0.54887663,5.644959
480,3,0.53225516,0.55290000,5.652188
500,3,0.53832250,0.55892135,5.659117
520,4,0.77020304,0.79325699,5.665769
540,4,0.74359093,0.76515480,5.672165
560,4,0.73428027,0.75589891,5.678325
580,4,0.71555192,0.73625340,5.684263
600,4,0.71296067,0.73627590,5.689996
620,4,0.68186491,0.70295862,5.695538
640,4,0.68006416,0.70205515,5.700899
660,4,0.65263062,0.67252570,5.706091
680,4,0.65164925,0.67245040,5.711125
700,4,0.64141177,0.66258059,5.716010
720,4,0.63553389,0.65660739,5.720754
740,4,0.62413288,0.64461126,5.725364
760,4,0.60794418,0.62765721,5.729848
780,4,0.60078726,0.62006519,5.734213
800,4,0.60460819,0.62410589,5.738465
820,4,0.59417087,0.61507893,5.742609
840,4,0.60136074,0.62503462,5.746650
860,4,0.57550785,0.59876910,5.750593
880,4,0.57700179,0.60081598,5.754444
900,4,0.60084655,0.62634509,5.758205
920,4,0.56983593,0.59431297,5.761882
940,4,0.56239652,0.58742910,5.765477
960,4,0.56479127,0.59092605,5.768994
980,4,0.59410352,0.62341315,5.772437
1000,4,0.58394271,0.61245234,5.775808
1050,5,0.80827840,0.83774328,5.783942
1100,5,0.78711946,0.81681129,5.791685
1150,5,0.76580675,0.79539154,5.799074
1200,4,0.73551518,0.76862393,5.806139
1250,4,0.71002026,0.74112216,5.812907
1300,4,0.69221189,0.72091826,5.819401
1350,4,0.68356955,0.71223378,5.825642
1400,4,0.67087429,0.69967494,5.831649
1450,4,0.64828337,0.67407558,5.837439
1500,4,0.64175009,0.67017909,5.843025
1550,4,0.62899364,0.65452811,5.848423
1600,4,0.61814942,0.64585082,5.853643
1650,4,0.60314565,0.62734919,5.858698
1700,4,0.59732188,0.62546563,5.863596
1750,4,0.58838696,0.61650224,5.868348
1800,4,0.61560559,0.64816574,5.872961
1850,4,0.58264203,0.61294450,5.877444
1900,4,0.57880458,0.60963391,5.881803
1950,4,0.59004112,0.62188407,5.886045
2000,4,0.58148775,0.61284428,5.890176
2050,5,0.81799171,0.84996525,5.894201
2100,5,0.80637919,0.83887906,5.898126
2150,5,0.79516653,0.82715022,5.901955
2200,5,0.78378043,0.81584679,5.905693
2250,5,0.78113589,0.81402762,5.909344
2300,5,0.77544936,0.81002997,5.912912
2350,5,0.76422930,0.79937584,5.916401
2400,5,0.75383107,0.78845816,5.919813
2450,5,0.74259912,0.77679759,5.923153
2500,5,0.72727348,0.75895399,5.926423
2550,5,0.72036661,0.75293678,5.929625
2600,5,0.72900085,0.76309596,5.932764
2650,5,0.71059357,0.74350459,5.935840
2700,5,0.70333130,0.73719785,5.938857
2750,5,0.69597231,0.72917976,5.941816
2800,5,0.69274634,0.72660143,5.944720
2850,5,0.67564415,0.70655355,5.947571
2900,5,0.67738042,0.70950805,5.950371
2950,5,0.67487396,0.70785443,5.953121
3000,5,0.67474370,0.70869147,5.955823
3050,5,0.66272403,0.69486721,5.958478
3100,5,0.65415879,0.68433542,5.961089
3150,5,0.63628097,0.66570359,5.963657
3200,5,0.64030694,0.67122475,5.966183
3250,5,0.63166839,0.66185226,5.968668
3300,5,0.62637703,0.65672392,5.971114
3350,5,0.62265149,0.65308004,5.973521
3400,5,0.62331623,0.65534876,5.975892
3450,5,0.61794223,0.64925784,5.978227
3500,5,0.60461486,0.63447930,5.980526
3550,5,0.60269710,0.63766216,5.982793
3600,5,0.61371531,0.64940661,5.985026
3650,5,0.59925936,0.63498847,5.987227
3700,5,0.59371599,0.62924896,5.989397
3750,5,0.59856989,0.63586106,5.991537
3800,5,0.58218275,0.61752166,5.993648
3850,5,0.57718742,0.61217057,5.995730
3900,5,0.59694035,0.63612647,5.997784
3950,5,0.58571564,0.62351951,5.999811
4000,5,0.58372243,0.62203791,6.001811
4050,5,0.58896663,0.62903658,6.003786
4100,6,0.78009051,0.81894311,6.005735
4150,6,0.77382996,0.81274560,6.007661
4200,6,0.76834365,0.80650974,6.009562
4250,6,0.76451764,0.80220979,6.011439
4300,6,0.75999221,0.79725467,6.013294
4350,6,0.74854799,0.78508625,6.015127
4400,6,0.74588211,0.78268859,6.016938
4450,6,0.74487477,0.78233494,6.018728
4500,6,0.75233869,0.79214570,6.020497
4550,5,0.74059551,0.78208985,6.022246
4600,5,0.72991858,0.77060506,6.023975
4650,5,0.71829908,0.75859764,6.025684
4700,5,0.71474922,0.75535562,6.027375
4750,5,0.69401852,0.73121606,6.029047
4800,5,0.70938678,0.74915800,6.030700
4850,5,0.70490351,0.74408818,6.032336
4900,5,0.71986568,0.76284473,6.033955
4950,5,0.71262010,0.75498391,6.035557
5000,5,0.69214756,0.72989815,6.037141
5200,5,0.67850597,0.71693516,6.043320
5400,5,0.66632269,0.70542326,6.049257
5600,5,0.65272088,0.69005528,6.054970
5800,5,0.64104095,0.67683408,6.060475
6000,5,0.65291582,0.69282359,6.065786
6200,5,0.63230308,0.66864954,6.070917
6400,5,0.62237100,0.65764965,6.075878
6600,5,0.61700226,0.65319557,6.080681
6800,5,0.61665906,0.65460503,6.085335
7000,5,0.59928680,0.63665671,6.089849
7200,5,0.60313404,0.64250347,6.094231
7400,5,0.60696877,0.64759418,6.098489
7600,5,0.58650489,0.62561065,6.102628
7800,5,0.58695169,0.62716321,6.106656
8000,5,0.59247299,0.63480094,6.110579
8200,6,0.78777419,0.83082180,6.114400
8400,6,0.77821006,0.82050625,6.118126
8600,6,0.75727654,0.79931287,6.121761
8800,6,0.74869691,0.78985427,6.125309
9000,6,0.76088371,0.80623296,6.128775
9200,6,0.73321481,0.77765896,6.132161
9400,6,0.72381096,0.76674642,6.135472
9600,6,0.72366555,0.76621749,6.138710
9800,6,0.71528942,0.75837840,6.141879
10000,6,0.69689606,0.73855915,6.144982
10200,6,0.70296572,0.74751483,6.148020
10400,6,0.70404435,0.74773252,6.150998
